fieldId,fov,ra,dec,gl,gb,el,eb
78,3.5,144.00001,-75.741972,-68.27138,-17.321199,-128.187377,-71.228171
79,3.5,0.0,-75.741971,-52.905081,-40.967785,-57.358409,-62.775954
80,3.5,288.000096,-75.74195,-41.015599,-27.488963,-82.707111,-52.754885
81,3.5,71.999904,-75.74195,-71.784198,-33.667375,-65.889307,-79.233138
82,3.5,203.03781,-75.516238,-54.469851,-12.85027,-115.787081,-58.146028
83,3.5,156.96219,-75.516238,-65.8062,-15.139961,-127.86195,-68.011578
84,3.5,347.037991,-75.516212,-48.900748,-39.930565,-60.758481,-59.998519
85,3.5,12.962009,-75.516212,-57.102379,-41.612012,-53.783245,-65.594212
86,3.5,228.962149,-75.516205,-48.285222,-15.167772,-106.323655,-54.418552
87,3.5,131.037851,-75.516205,-70.607029,-19.656488,-127.686003,-74.443376
88,3.5,275.0379,-75.516197,-41.295274,-24.280219,-87.88167,-52.113396
89,3.5,84.9621,-75.516197,-73.129778,-30.656984,-81.944503,-80.904778
90,3.5,300.962224,-75.516181,-41.016939,-30.707538,-77.462268,-53.419362
91,3.5,59.037776,-75.516181,-70.050182,-36.556712,-55.592347,-76.814195
92,3.5,190.840031,-74.831653,-57.608121,-11.968375,-120.851045,-59.991241
93,3.5,169.159969,-74.831653,-63.267291,-13.112633,-127.115559,-64.836266
94,3.5,313.160058,-74.831639,-41.276178,-33.889272,-72.177732,-54.057147
95,3.5,46.839942,-74.831639,-67.959401,-39.286683,-49.32723,-74.037433
96,3.5,241.159975,-74.831638,-45.307144,-16.569997,-101.923233,-52.5942
97,3.5,118.840025,-74.831638,-72.819432,-22.085261,-125.946886,-77.605217
98,3.5,262.840001,-74.831628,-41.786956,-21.123339,-92.932179,-51.467574
99,3.5,97.159999,-74.831628,-74.152683,-27.59537,-102.546683,-81.412501
100,3.5,334.840158,-74.831618,-45.171442,-38.576169,-63.949583,-57.274865
101,3.5,25.159842,-74.831618,-61.361971,-41.883895,-49.891268,-68.399059
102,3.5,180.0,-73.693888,-60.720221,-11.187958,-126.263753,-61.712558
103,3.5,252.000127,-73.693852,-42.38552,-18.027264,-97.812583,-50.747589
104,3.5,107.999873,-73.693852,-74.970491,-24.535276,-122.320267,-80.678776
105,3.5,324.000112,-73.693834,-41.712001,-37.016256,-66.856094,-54.581063
106,3.5,35.999888,-73.693834,-65.5889,-41.86821,-45.332466,-71.124679
107,3.5,210.393007,-73.293843,-52.004686,-11.115328,-115.66639,-55.17615
108,3.5,149.606993,-73.293843,-68.807195,-14.501144,-134.979423,-69.48995
109,3.5,293.606997,-73.293817,-38.233721,-28.976228,-79.456474,-50.7132
110,3.5,66.393003,-73.293817,-73.68755,-36.071627,-50.361687,-79.58853
111,3.5,221.60694,-73.293796,-48.934289,-12.264815,-111.063336,-53.401662
112,3.5,138.39306,-73.293796,-71.207667,-16.741153,-136.169467,-72.685798
113,3.5,354.393111,-73.293784,-49.9398,-42.797085,-54.810219,-60.179631
114,3.5,5.606889,-73.293784,-54.192149,-43.672103,-51.082913,-62.864714
115,3.5,282.393107,-73.293777,-38.454576,-25.763333,-84.412859,-50.092498
116,3.5,77.606893,-73.293777,-75.145714,-33.084896,-63.363791,-82.071092
117,3.5,199.43127,-72.896952,-55.10872,-10.125285,-120.478659,-56.92919
118,3.5,160.56873,-72.896952,-66.32457,-12.38969,-133.612271,-66.323799
119,3.5,232.568807,-72.896949,-45.923781,-13.560109,-106.667563,-51.630255
120,3.5,127.431193,-72.896949,-73.508362,-19.085584,-137.06436,-75.884188
121,3.5,271.431122,-72.896915,-38.876821,-22.579032,-89.283772,-49.461489
122,3.5,88.568878,-72.896915,-76.286696,-30.028213,-86.125755,-83.645522
123,3.5,343.431249,-72.896888,-45.928604,-41.589241,-58.271462,-57.517299
124,3.5,16.568751,-72.896888,-58.588499,-44.187536,-47.020999,-65.542836
125,3.5,304.568857,-72.896871,-38.233373,-32.183711,-74.447439,-51.314223
126,3.5,55.431143,-72.896871,-71.889699,-38.944816,-43.365825,-76.715019
127,3.5,242.81136,-72.099722,-42.973428,-14.945602,-102.510714,-49.846927
128,3.5,117.18864,-72.099722,-75.732884,-21.482068,-137.657789,-79.059034
129,3.5,314.811112,-72.099688,-38.418799,-35.357298,-69.405163,-51.844703
130,3.5,45.188888,-72.099688,-69.783266,-41.686605,-39.412886,-73.700463
131,3.5,333.188853,-72.099681,-42.199098,-40.125833,-61.453795,-54.877962
132,3.5,26.811147,-72.099681,-63.019335,-44.378041,-42.425272,-68.158722
133,3.5,189.188776,-72.099671,-58.21051,-9.260499,-125.548265,-58.599974
134,3.5,170.811224,-72.099671,-63.804599,-10.39116,-132.228861,-63.20141
135,3.5,261.188885,-72.099666,-39.435259,-19.444738,-94.028963,-48.786339
136,3.5,98.811115,-72.099666,-77.185738,-26.950654,-115.17797,-83.662606
137,3.5,287.999995,-70.933132,-35.611687,-27.194782,-81.248127,-48.036585
138,3.5,72.000005,-70.933132,-77.205255,-35.457214,-41.932308,-82.192754
139,3.5,216.000023,-70.933109,-49.590868,-9.417363,-115.510534,-52.258008
140,3.5,143.999977,-70.933109,-71.747057,-13.868327,-142.845107,-70.652719
141,3.5,0.0,-70.933101,-51.10407,-45.594842,-48.942683,-60.129229
142,3.5,180.0,-70.915163,-61.287252,-8.46597,-130.948595,-60.118499
143,3.5,252.000109,-70.915158,-40.059107,-16.359227,-98.619307,-48.018927
144,3.5,107.999891,-70.915158,-77.931693,-23.881628,-138.049586,-82.200496
145,3.5,324.00003,-70.915128,-38.731822,-38.489469,-64.336541,-52.242676
146,3.5,35.99997,-70.915128,-67.412253,-44.30728,-36.964677,-70.64833899999999
147,3.5,297.777261,-70.757763,-35.400978,-30.398849,-76.498666,-48.611748
148,3.5,62.222739,-70.757763,-75.685063,-38.427876,-35.050008,-79.177323
149,3.5,278.222794,-70.757749,-35.993557,-24.003943,-85.935671,-47.433129
